Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1974 -1.9 -1.6 -1.2 -1.0 -0.8 -0.7 -0.5 -0.4 -0.4 -0.6 -0.8 -0.7
1975 -0.5 -0.5 -0.6 -0.7 -0.8 -1.0 -1.1 -1.2 -1.4 -1.5 -1.6 -1.7
1976 -1.5 -1.1 -0.7 -0.5 -0.3 -0.1 0.2 0.4 0.6 0.7 0.8 0.8
1977 0.6 0.6 0.3 0.3 0.3 0.4 0.4 0.4 0.5 0.7 0.8 0.8
1978 0.7 0.5 0.1 -0.2 -0.3 -0.3 -0.3 -0.4 -0.4 -0.3 -0.1 -0.1
1979 -0.1 0.1 0.2 0.3 0.2 0.0 0.0 0.2 0.3 0.5 0.5 0.6
1980 0.5 0.4 0.3 0.3 0.4 0.4 0.3 0.1 -0.1 0.0 0.0 -0.1
1981 -0.4 -0.6 -0.5 -0.4 -0.3 -0.3 -0.4 -0.4 -0.3 -0.2 -0.2 -0.1
1982 -0.1 0.0 0.1 0.3 0.5 0.7 0.7 1.0 1.5 1.9 2.1 2.2
1983 2.2 1.9 1.5 1.2 0.9 0.6 0.2 -0.2 -0.5 -0.8 -0.9 -0.8
1984 -0.5 -0.3 -0.3 -0.4 -0.5 -0.5 -0.3 -0.2 -0.3 -0.6 -0.9 -1.1
1985 -1.0 -0.9 -0.7 -0.7 -0.7 -0.6 -0.5 -0.5 -0.5 -0.4 -0.4 -0.4
1986 -0.5 -0.4 -0.2 -0.2 -0.1 0.0 0.3 0.5 0.7 0.9 1.1 1.2
1987 1.2 1.3 1.2 1.1 1.0 1.2 1.4 1.6 1.6 1.5 1.3 1.1
1988 0.8 0.5 0.1 -0.2 -0.8 -1.2 -1.3 -1.2 -1.3 -1.6 -1.9 -1.9
1989 -1.7 -1.5 -1.1 -0.8 -0.6 -0.4 -0.3 -0.3 -0.3 -0.3 -0.2 -0.1
1990 0.1 0.2 0.3 0.3 0.2 0.2 0.3 0.3 0.4 0.3 0.4 0.4
1991 0.3 0.2 0.2 0.3 0.5 0.7 0.8 0.7 0.7 0.8 1.2 1.4
1992 1.6 1.5 1.4 1.2 1.0 0.7 0.3 0.0 -0.2 -0.3 -0.2 0.0
1993 0.2 0.3 0.5 0.6 0.6 0.5 0.3 0.2 0.2 0.2 0.1 0.1
1994 0.1 0.1 0.2 0.3 0.4 0.4 0.4 0.4 0.5 0.7 1.0 1.2
1995 1.0 0.8 0.6 0.3 0.2 0.0 -0.2 -0.4 -0.7 -0.8 -0.9 -0.9
1996 -0.9 -0.8 -0.6 -0.4 -0.3 -0.2 -0.2 -0.3 -0.3 -0.3 -0.4 -0.5
1997 -0.5 -0.4 -0.1 0.2 0.7 1.2 1.5 1.8 2.1 2.3 2.4 2.3
1998 2.2 1.8 1.4 0.9 0.4 -0.2 -0.7 -1.0 -1.2 -1.3 -1.4 -1.5
1999 -1.5 -1.3 -1.0 -0.9 -0.9 -1.0 -1.0 -1.1 -1.1 -1.3 -1.5 -1.7
2000 -1.7 -1.5 -1.2 -0.9 -0.8 -0.7 -0.6 -0.5 -0.6 -0.6 -0.8 -0.8
2001 -0.7 -0.6 -0.5 -0.4 -0.2 -0.1 0.0 0.0 -0.1 -0.2 -0.3 -0.3
2002 -0.2 0.0 0.1 0.3 0.5 0.7 0.8 0.8 0.9 1.2 1.3 1.3
2003 1.1 0.8 0.4 0.0 -0.2 -0.1 0.2 0.4 0.4 0.4 0.4 0.3
2004 0.3 0.2 0.1 0.1 0.2 0.3 0.5 0.7 0.8 0.7 0.7 0.7
2005 0.6 0.4 0.3 0.3 0.3 0.3 0.2 0.1 0.0 -0.2 -0.5 -0.8
2006 -0.9 -0.7 -0.5 -0.3 0.0 0.1 0.2 0.3 0.5 0.8 1.0 1.0
2007 0.7 0.3 -0.1 -0.2 -0.3 -0.3 -0.4 -0.6 -0.8 -1.1 -1.2 -1.4
2008 -1.5 -1.5 -1.2 -0.9 -0.7 -0.5 -0.3 -0.2 -0.1 -0.2 -0.5 -0.7
2009 -0.8 -0.7 -0.5 -0.2 0.2 0.4 0.5 0.6 0.8 1.1 1.4 1.6
2010 1.6 1.3 1.0 0.6 0.1 -0.4 -0.9 -1.2 -1.4 -1.5 -1.5 -1.5
2011 -1.4 -1.2 -0.9 -0.6 -0.3 -0.2 -0.2 -0.4 -0.6 -0.8 -1.0 -1.0
2012 -0.9 -0.6 -0.5 -0.3 -0.2 0.0 0.1 0.4 0.5 0.6 0.2 -0.3
2013 -0.6 -0.7 
